ID	DOCULECT	CONCEPT	VALUE	FORM	SEGMENTS	COGID	COGIDS	NOTE
8958	Xipaya	ABLATIVE				0		
9077	Juruna	ABLATIVE				0		
9196	Karo	ABLATIVE				0		
9315	Purubora	ABLATIVE				0		
9672	Makurap	ABLATIVE	eri	eri	e r i	70	4	
9791	Wayoro	ABLATIVE	eri	eri	e r i	70	4	
10029	Akuntsu	ABLATIVE	eri	(e)ri	e r i	70	4	
10148	Mekens	ABLATIVE	eri	(e)ri	e r i	70	4	
10267	Mundurukú	ABLATIVE	wi	wi	w i	31	307	
10505	Cinta-Larga	ABLATIVE				0		
10624	Gavião	ABLATIVE	pí	pí / abi	p í	429	308	
10743	Monde	ABLATIVE				0		
11338	Zoro	ABLATIVE	pi	pi	p i	429	308	
11576	Karitiana	ABLATIVE				0		
11695	Arikem	ABLATIVE				0		
11814	Mawe	ABLATIVE	wɨi	wɨi	w ɨi	31	307	
11933	Awetí	ABLATIVE				0		
12052	Asuriní Tocantins	ABLATIVE	ohi	ohi	o h i	2	135	
12171	Parakana	ABLATIVE				0		
12290	Surui-Aikewara	ABLATIVE				0		
12409	Tapirapé	ABLATIVE				0		
12532	Tembe	ABLATIVE	wi	wi	w i	31	307	
12647	Guajajara	ABLATIVE	wi	wi	w i	31	307	
12766	Apiaka	ABLATIVE				0		
12885	Parintintin	ABLATIVE	uwi	uwi	u w i	31	307	
13004	Amondawa	ABLATIVE				0		
13123	Tenharim	ABLATIVE				0		
13480	Urueuwauwau	ABLATIVE				0		
13718	Kayabi	ABLATIVE				0		
13837	Araweté	ABLATIVE	hɨ	hɨ	h ɨ	2	135	
14075	Guajá	ABLATIVE	aiá	(a)iá	aiá	336	181	
14313	Teko	ABLATIVE	wi	wi (dʒuwi)	w i	31	307	
14432	Wayampi	ABLATIVE	wɨi	wɨi	w ɨi	31	307	
14551	Zo'e	ABLATIVE				0		
14670	Ka'apor	ABLATIVE	ŋi	ŋi	ŋ i	31	307	
14789	Anambe	ABLATIVE				0		
15027	Kamajura	ABLATIVE				0		
15146	Asuriní Xingu	ABLATIVE				0		
15265	Tupinambá	ABLATIVE	swi	swi	s w i	570	309	
15384	Nheengatu	ABLATIVE	sui	sui	s ui	570	309	
15622	Yuki	ABLATIVE	sui	sui	s ui	570	309	provenence
15741	Guarayo	ABLATIVE	sui	sui	s ui	31	307	
15860	Siriono	ABLATIVE				0		
15979	Warazu	ABLATIVE				0		
16098	Chiriguano	ABLATIVE	gʷie	gʷie / wi	gʷ ie	31	307	
16336	Mbya	ABLATIVE				0		
16455	Guaraní	ABLATIVE				0		
16574	Old Guaraní	ABLATIVE	gʷi	gʷi	gʷ i	31	307	jensen: wi
16693	Ache	ABLATIVE				0		
16812	Xeta	ABLATIVE				0		
16931	Kaiowa	ABLATIVE				0		
17050	Ñandeva	ABLATIVE				0		
17169	Apapokuva	ABLATIVE				0		
17407	Kokama	ABLATIVE	tsui	tsui	ts ui	570	309	
17575	Avá Canoeiro	ABLATIVE	wi	wi	w i	31	307	
17673	Surui-Paiter	ABLATIVE				0		
17802	Tapiete	ABLATIVE	hewi	hewi	h e w i	31	307	
18644	Gavião	ABLATIVE	abi	pí / abi	a b i	429	308	
19308	Chiriguano	ABLATIVE	wi	gʷie / wi	w i	31	307	Jensen
8960	Xipaya	NOMINALIZER AGENTIVE				0		
9079	Juruna	NOMINALIZER AGENTIVE				0		
9198	Karo	NOMINALIZER AGENTIVE				0		
9317	Purubora	NOMINALIZER AGENTIVE				0		
9674	Makurap	NOMINALIZER AGENTIVE	aret	aret	a r e t	81	10	
9912	Tupari	NOMINALIZER AGENTIVE	at	at	a t	10	275	
10031	Akuntsu	NOMINALIZER AGENTIVE	at	at	a t	10	275	
10269	Mundurukú	NOMINALIZER AGENTIVE	at	at	a t	10	275	
10339	Mundurukú	NOMINALIZER AGENTIVE	at	at	a t	10	275	
